timestamp,open,high,low,close,volume
2024-06-10 22:53:33.967323,20030.34042945303,20028.446205111875,20013.401930685493,20024.83570765056,441772
2024-06-10 23:53:33.967323,20019.490914373644,20039.536199444283,19997.28196097206,20017.922492592003,351997
2024-06-11 00:53:33.967323,20031.61011307717,20076.06450626594,20011.06169619818,20050.306919497038,212528
2024-06-11 01:53:33.967323,20146.664257193643,20177.323886894934,20091.97954416615,20126.45841231744,309876
2024-06-11 02:53:33.967323,20103.607229655325,20176.165750136177,20105.797684711848,20114.750743581273,414947
2024-06-11 03:53:33.967323,20109.65959334751,20146.706180198973,20062.075784633682,20103.043895733812,246261
2024-06-11 04:53:33.967323,20167.79408424958,20183.360102361938,20124.99042814048,20182.004536509183,139302
2024-06-11 05:53:33.967323,20257.605247614494,20250.453667394973,20175.571958178236,20220.376272966827,101699
2024-06-11 06:53:33.967323,20216.77780960593,20207.817766698856,20189.621116016617,20196.90255367008,257530
2024-06-11 07:53:33.967323,20212.414353116543,20234.411588176703,20205.114631359615,20224.03055584938,339437
2024-06-11 08:53:33.967323,20202.18658013416,20217.48730548955,20181.31867517697,20200.859671208756,476782
2024-06-11 09:53:33.967323,20162.134773307887,20201.844812202875,20129.93572055407,20177.573183530243,186866
2024-06-11 10:53:33.967323,20184.331503471007,20199.53622190616,20186.621343581417,20189.671297108544,263952
2024-06-11 11:53:33.967323,20100.351478704662,20125.05125879144,20086.92126950579,20094.007284875654,301440
2024-06-11 12:53:33.967323,20020.43710307107,20040.295511957367,20000.249182139152,20007.761393250003,206696
2024-06-11 13:53:33.967323,19961.071218008074,19979.806933987737,19973.59222281587,19979.647016787952,298223
2024-06-11 14:53:33.967323,19917.777097445432,19954.084558499402,19866.589100823378,19929.005460771234,234716
2024-06-11 15:53:33.967323,19958.8443079223,19974.568354789473,19936.877284283346,19944.717827400997,158323
2024-06-11 16:53:33.967323,19919.1753176295,19913.140289072777,19888.868395552112,19899.316623624934,444918
